Player,From,To,Pos,Ht,Wt,Birth Date,College,Active,Hall Of Fame
Bruce Kuczenski,1984,1984,F,6-10,230,"February 3, 1961",University of Connecticut,False,False
Frank Kudelka,1950,1953,G-F,6-2,193,"June 25, 1925",Saint Mary's College of California,False,False
John Kuester,1978,1980,G,6-2,180,"February 6, 1955",University of North Carolina,False,False
Ray Kuka,1948,1949,F,6-3,200,"February 17, 1922",University of Notre Dame,False,False
Toni Kukoc,1994,2006,F,6-10,192,"September 18, 1968",,False,False
Kevin Kunnert,1974,1982,C-F,7-0,230,"November 11, 1951",University of Iowa,False,False
Terry Kunze,1968,1968,G-F,6-4,210,"March 11, 1943",University of Minnesota,False,False
Mitch Kupchak,1977,1986,F-C,6-9,230,"May 24, 1954",University of North Carolina,False,False
C.J. Kupec,1976,1978,F-C,6-6,220,"January 16, 1953",University of Michigan,False,False
Rob Kurz,2009,2009,F,6-9,232,"March 5, 1985",University of Notre Dame,False,False
Ibo Kutluay,2005,2005,G,6-6,200,"July 1, 1974",,False,False
Ognjen Kuzmic,2014,2015,C,7-1,251,"May 16, 1990",,True,False
Reggie Lacefield,1969,1969,G-F,6-5,230,"April 10, 1945",Western Michigan University,False,False
Edgar Lacey,1969,1969,F,6-6,190,"August 2, 1944","University of California, Los Angeles",False,False
Sam Lacey,1971,1983,C,6-10,235,"March 28, 1948",New Mexico State University,False,False
Bob Lackey,1973,1974,G-F,6-5,200,"April 4, 1949",Marquette University,False,False
Fred LaCour,1961,1963,G-F,6-5,210,"February 7, 1938",University of San Francisco,False,False
Wendell Ladner,1971,1975,F,6-5,220,"October 6, 1948",University of Southern Mississippi,False,False
Christian Laettner,1993,2005,F-C,6-11,235,"August 17, 1969",Duke University,False,False
Oliver Lafayette,2010,2010,G,6-2,190,"May 6, 1984",University of Houston,False,False
Raef LaFrentz,1999,2008,F-C,6-11,240,"May 29, 1976",University of Kansas,False,False
Tom LaGarde,1978,1985,C-F,6-10,220,"February 10, 1955",University of North Carolina,False,False
Bill Laimbeer,1981,1994,C,6-11,245,"May 19, 1957",University of Notre Dame,False,False
Pete Lalich,1947,1947,F,6-2,190,"June 23, 1920",Ohio University,False,False
Bo Lamar,1974,1977,G,6-1,180,"April 7, 1951",University of Louisiana at Lafayette,False,False
Doron Lamb,2013,2014,G,6-4,210,"November 6, 1991",University of Kentucky,True,False
Jeremy Lamb,2013,2016,G-F,6-5,185,"May 30, 1992",University of Connecticut,True,False
John Lambert,1976,1982,C-F,6-10,225,"January 14, 1953",University of Southern California,False,False
Jeff Lamp,1982,1989,F-G,6-6,195,"March 9, 1959",University of Virginia,False,False
Maciej Lampe,2004,2006,F,6-11,275,"February 5, 1985",,False,False
Jim Lampley,1987,1987,C,6-10,230,"July 2, 1960",University of Arkansas at Little Rock,False,False
Sean Lampley,2003,2004,F,6-7,227,"September 3, 1979",University of California,False,False
Carl Landry,2008,2016,F,6-9,248,"September 19, 1983",Purdue University,True,False
Marcus Landry,2010,2010,F,6-7,230,"November 1, 1985",University of Wisconsin,True,False
Mark Landsberger,1978,1984,F-C,6-8,215,"May 21, 1955",Arizona State University,False,False
Jerome Lane,1989,1993,F,6-6,230,"December 4, 1966",University of Pittsburgh,False,False
Andrew Lang,1989,2000,C,6-11,245,"June 28, 1966",University of Arkansas,False,False
Antonio Lang,1995,2000,F-G,6-8,205,"May 15, 1972",Duke University,False,False
James Lang,2007,2007,C,6-10,285,"October 17, 1983",,False,False
Trajan Langdon,2000,2002,G,6-3,197,"May 13, 1976",Duke University,False,False
Keith Langford,2008,2008,G,6-4,215,"September 15, 1983",University of Kansas,False,False
Dan Langhi,2001,2004,F,6-11,220,"November 28, 1977",Vanderbilt University,False,False
Bob Lanier,1971,1984,C,6-11,250,"September 10, 1948",St. Bonaventure University,False,True
Stu Lantz,1969,1976,G,6-3,175,"July 13, 1946",University of Nebraska,False,False
York Larese,1962,1962,G,6-4,183,"July 18, 1938",University of North Carolina,False,False
Shane Larkin,2014,2016,G,5-11,175,"October 2, 1992",University of Miami,True,False
Rusty LaRue,1998,2004,G,6-2,210,"December 10, 1973",Wake Forest University,False,False
Rudy LaRusso,1960,1969,F-C,6-7,220,"November 11, 1937",Dartmouth College,False,False
John Laskowski,1976,1977,G,6-6,185,"June 7, 1953",Indiana University,False,False
Stephane Lasme,2008,2008,F,6-8,215,"December 17, 1982",University of Massachusetts Amherst,False,False
Dave Lattin,1968,1973,F-C,6-6,225,"December 23, 1943",University of Texas at El Paso,False,False
Priest Lauderdale,1997,1998,C,7-4,325,"August 31, 1973",Central State University,False,False
Rich Laurel,1978,1978,G,6-6,190,"July 11, 1954",Hofstra University,False,False
Harry Laurie,1971,1971,G,6-1,178,"November 2, 1944",Saint Peter's College,False,False
Walt Lautenbach,1950,1950,G-F,6-2,185,"November 17, 1922",University of Wisconsin,False,False
Joffrey Lauvergne,2015,2016,F,6-11,220,"September 30, 1991",,True,False
Tony Lavelli,1950,1951,F,6-3,185,"July 11, 1926",Yale University,False,False
Zach LaVine,2015,2016,G,6-5,189,"March 10, 1995","University of California, Los Angeles",True,False
Bob Lavoy,1951,1954,F-C,6-7,185,"June 29, 1926",Western Kentucky University,False,False
Acie Law,2008,2011,G,6-3,195,"January 25, 1985",Texas A&M University,False,False
Gani Lawal,2011,2011,F,6-9,234,"November 7, 1988",Georgia Institute of Technology,True,False
Edmund Lawrence,1981,1981,C,7-0,228,"December 8, 1952",McNeese State University,False,False
Jason Lawson,1998,1998,C,6-11,240,"September 2, 1974",Villanova University,False,False
Ty Lawson,2010,2016,G,5-11,195,"November 3, 1987",University of North Carolina,True,False
Mo Layton,1972,1978,G,6-1,180,"December 24, 1948",University of Southern California,False,False
Manny Leaks,1969,1974,C-F,6-8,225,"November 27, 1945",Niagara University,False,False
Hal Lear,1957,1957,G,6-0,163,"January 31, 1935",Temple University,False,False
Allen Leavell,1980,1989,G,6-1,170,"May 27, 1957",Oklahoma City University,False,False
Jeff Lebo,1990,1990,G,6-2,180,"October 5, 1966",University of North Carolina,False,False
Eric Leckner,1989,1997,C-F,6-11,265,"May 27, 1966",University of Wyoming,False,False
Ricky Ledo,2014,2015,G,6-7,195,"September 10, 1992",,True,False
Butch Lee,1979,1980,G,6-0,185,"December 5, 1956",Marquette University,False,False
Clyde Lee,1967,1976,F-C,6-10,205,"March 14, 1944",Vanderbilt University,False,False
Courtney Lee,2009,2016,G,6-5,200,"October 3, 1985",Western Kentucky University,True,False
David Lee,1968,1969,F,6-7,225,"March 31, 1942",University of San Francisco,True,False
David Lee,2006,2016,F,6-9,245,"April 29, 1983",University of Florida,True,False
Dick Lee,1968,1968,F,6-6,,,University of Washington,False,False
Doug Lee,1992,1995,G-F,6-5,200,"October 24, 1964",Purdue University,False,False
George Lee,1961,1968,F-G,6-4,200,"November 23, 1936",University of Michigan,False,False
Greg Lee,1975,1976,G,6-3,190,"December 12, 1951","University of California, Los Angeles",False,False
Keith Lee,1986,1989,F-C,6-10,215,"December 28, 1962",University of Memphis,False,False
Kurk Lee,1991,1991,G,6-3,190,"June 3, 1967",Towson University,False,False
Malcolm Lee,2012,2015,G,6-5,200,"May 22, 1990","University of California, Los Angeles",True,False
Rock Lee,1982,1982,C,6-10,220,"May 1, 1955",San Diego State University,False,False
Ron Lee,1977,1982,G,6-4,193,"November 2, 1952",University of Oregon,False,False
Russ Lee,1973,1975,G-F,6-5,185,"January 27, 1950",Marshall University,False,False
Ed Leede,1950,1951,F-G,6-3,185,"July 17, 1927",Dartmouth College,False,False
Hank Lefkowitz,1947,1947,F,6-2,190,"August 31, 1923",Case Western Reserve University,False,False
Tim Legler,1990,2000,G,6-4,200,"December 26, 1966",La Salle University,False,False
George Lehmann,1968,1974,G,6-0,180,"May 1, 1942",Campbell University,False,False
Alex Len,2014,2016,C,7-1,260,"June 16, 1993",University of Maryland,True,False
Voshon Lenard,1996,2006,G,6-4,205,"May 14, 1973",University of Minnesota,False,False
Leary Lentz,1968,1969,F,6-6,200,"February 23, 1945",University of Houston,False,False
Gary Leonard,1990,1992,C,7-1,250,"February 16, 1967",University of Missouri,False,False
Kawhi Leonard,2012,2016,F,6-7,230,"June 29, 1991",San Diego State University,True,False
Meyers Leonard,2013,2016,C,7-1,245,"February 27, 1992",University of Illinois at Urbana-Champaign,True,False
Slick Leonard,1957,1963,G,6-3,185,"July 17, 1932",Indiana University,False,True
Jim Les,1989,1995,G,5-11,165,"August 18, 1963",Bradley University,False,False
Travis Leslie,2012,2012,G,6-4,205,"March 29, 1990",University of Georgia,False,False
Ronnie Lester,1981,1986,G,6-2,175,"January 1, 1959",University of Iowa,False,False
Clifford Lett,1990,1991,G,6-3,170,"December 23, 1965",University of Florida,False,False
Jon Leuer,2012,2016,F,6-10,228,"May 14, 1989",University of Wisconsin,True,False
Andrew Levane,1949,1953,F-G,6-2,190,"April 11, 1920",St. John's University,False,False
Fat Lever,1983,1994,G,6-3,170,"August 18, 1960",Arizona State University,False,False
Cliff Levingston,1983,1995,F,6-8,210,"January 4, 1961",Wichita State University,False,False
Bobby Lewis,1968,1971,G,6-3,175,"March 20, 1945",University of North Carolina,False,False
Cedric Lewis,1996,1996,F-C,6-10,235,"September 24, 1969",University of Maryland,False,False
Freddie Lewis,1949,1950,F-G,6-2,195,"January 6, 1921",Eastern Kentucky University,False,False
Freddie Lewis,1967,1977,G,6-0,175,"July 1, 1943",Arizona State University,False,False
Grady Lewis,1947,1949,F-C,6-7,215,"March 25, 1917",University of Oklahoma,False,False
Martin Lewis,1996,1997,F,6-5,210,"April 28, 1975",Seward County Community College,False,False
Mike Lewis,1969,1974,C-F,6-8,225,"March 18, 1946",Duke University,False,False
Quincy Lewis,2000,2004,F,6-7,215,"June 26, 1977",University of Minnesota,False,False
Ralph Lewis,1988,1990,G,6-6,200,"March 28, 1963",La Salle University,False,False
Rashard Lewis,1999,2014,F,6-10,215,"August 8, 1979",,False,False
Reggie Lewis,1988,1993,G-F,6-7,195,"November 21, 1965",Northeastern University,False,False
Marcus Liberty,1991,1994,F,6-8,205,"October 27, 1968",University of Illinois at Urbana-Champaign,False,False
Todd Lichti,1990,1994,G-F,6-4,205,"January 8, 1967",Stanford University,False,False
Barry Liebowitz,1968,1968,G,6-2,180,"September 10, 1945",Long Island University,False,False
DeAndre Liggins,2012,2014,G,6-6,209,"March 31, 1988",University of Kentucky,True,False
Bill Ligon,1975,1975,G,6-4,180,"May 29, 1952",Vanderbilt University,False,False
Goose Ligon,1968,1974,F-C,6-7,210,"February 22, 1944",,False,False
Damian Lillard,2013,2016,G,6-3,195,"July 15, 1990",Weber State University,True,False
Jeremy Lin,2011,2016,G,6-3,200,"August 23, 1988",Harvard University,True,False
Steve Lingenfelter,1983,1984,F,6-9,225,"June 10, 1958",South Dakota State University,False,False
Alton Lister,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State University,False,False
Samuel Little,1970,1970,G,6-0,180,"March 29, 1946",Delta State University,False,False
Gene Littles,1970,1975,G,6-0,160,"June 29, 1943",High Point University,False,False
Randy Livingston,1997,2007,G,6-4,209,"April 2, 1975",Louisiana State University,False,False
Shaun Livingston,2005,2016,G,6-7,182,"September 11, 1985",,True,False
Ron Livingstone,1950,1951,C,6-10,220,"October 9, 1925",University of Wyoming,False,False
Horacio Llamas Grey,1997,1998,C,6-11,285,"July 17, 1973",Grand Canyon University,False,False
Bobby Lloyd,1968,1969,G,6-2,184,"January 3, 1946",Rutgers University,False,False
Chuck Lloyd,1971,1971,C-F,6-8,220,"May 22, 1947",Yankton College,False,False
Earl Lloyd,1951,1960,F-C,6-5,200,"April 3, 1928",West Virginia State University,False,True
Lewis Lloyd,1982,1990,G-F,6-6,205,"February 22, 1959",Drake University,False,False
Scott Lloyd,1977,1983,C-F,6-10,230,"December 19, 1952",Arizona State University,False,False
Riney Lochmann,1968,1970,F,6-6,215,"May 26, 1944",University of Kansas,False,False
Bob Lochmueller,1953,1953,F,6-5,185,"June 5, 1927",University of Louisville,False,False
Rob Lock,1989,1989,F,6-9,225,"May 22, 1966",University of Kentucky,False,False
Darrell Lockhart,1984,1984,C,6-9,245,"September 14, 1960",Auburn University,False,False
Ian Lockhart,1991,1991,F,6-8,240,"June 25, 1967",University of Tennessee,False,False
Kevin Loder,1982,1984,F-G,6-6,205,"March 15, 1959",Alabama State University,False,False
Don Lofgran,1951,1954,F-C,6-5,200,"November 18, 1928",University of San Francisco,False,False
Henry Logan,1969,1970,G,6-0,180,"March 14, 1946",Western Carolina University,False,False
John Logan,1947,1951,G,6-2,175,"January 1, 1921",Indiana University,False,False
Brad Lohaus,1988,1998,F-C,6-11,230,"September 29, 1964",University of Iowa,False,False
Art Long,2001,2003,F,6-9,250,"October 1, 1972",University of Cincinnati,False,False
Grant Long,1989,2003,F,6-8,225,"March 12, 1966",Eastern Michigan University,False,False
John Long,1979,1997,G-F,6-5,195,"August 28, 1956",University of Detroit Mercy,False,False
Paul Long,1968,1971,G,6-2,180,"February 8, 1944",Wake Forest University,False,False
Willie Long,1972,1974,F-C,6-8,225,"March 1, 1950",University of New Mexico,False,False
Luc Longley,1992,2001,C,7-2,265,"January 19, 1969",University of New Mexico,False,False
Kevon Looney,2016,2016,F,6-9,220,"February 6, 1996","University of California, Los Angeles",True,False
Brook Lopez,2009,2016,C,7-0,275,"April 1, 1988",Stanford University,True,False
Felipe Lopez,1999,2002,G,6-5,199,"December 19, 1974",St. John's University,False,False
Raul Lopez,2004,2005,G,6-1,170,"April 15, 1980",,False,False
Robin Lopez,2009,2016,C,7-0,255,"April 1, 1988",Stanford University,True,False
Ryan Lorthridge,1995,1995,G,6-4,190,"July 27, 1972",Jackson State University,False,False
Jim Loscutoff,1956,1964,F,6-5,220,"February 4, 1930",University of Oregon,False,False
Plummer Lott,1968,1969,F-G,6-5,210,"December 11, 1945",Seattle University,False,False
Kevin Loughery,1963,1973,G,6-3,190,"March 28, 1940",St. John's University,False,False
Bob Love,1967,1977,F,6-8,215,"December 8, 1942",Southern University and A&M College,False,False
Kevin Love,2009,2016,F,6-10,251,"September 7, 1988","University of California, Los Angeles",True,False
Stan Love,1972,1975,F,6-9,215,"April 9, 1949",University of Oregon,False,False
Clyde Lovellette,1954,1964,C-F,6-9,234,"September 7, 1929",University of Kansas,False,True
Sidney Lowe,1984,1990,G,6-0,195,"January 21, 1960",North Carolina State University,False,False
Charlie Lowery,1972,1972,G,6-3,185,"November 12, 1949",University of Puget Sound,False,False
Kyle Lowry,2007,2016,G,6-0,205,"March 25, 1986",Villanova University,True,False
Al Lucas,1949,1949,F-G,6-3,195,"July 4, 1922",Fordham University,False,False
Jerry Lucas,1964,1974,F-C,6-8,230,"March 30, 1940",Ohio State University,False,True
John Lucas,1977,1990,G,6-3,175,"October 31, 1953",University of Maryland,False,False
Kalin Lucas,2015,2015,G,6-1,195,"May 24, 1989",Michigan State University,True,False
Maurice Lucas,1975,1988,F-C,6-9,215,"February 18, 1952",Marquette University,False,False
John Lucas III,2006,2015,G,5-11,165,"November 21, 1982",Oklahoma State University,True,False
Ted Luckenbill,1962,1963,F,6-6,205,"July 27, 1939",University of Houston,False,False
Tyronn Lue,1999,2009,G,6-0,175,"May 3, 1977",University of Nebraska,False,False
Jim Luisi,1954,1954,G,6-2,180,"November 2, 1928",St. Francis College,False,False
Al Lujack,1947,1947,F,6-3,220,"October 5, 1920",Georgetown University,False,False
Phil Lumpkin,1975,1976,G,6-0,165,"December 20, 1951",Miami University,False,False
Ray Lumpp,1949,1953,G,6-1,178,"July 11, 1923",New York University,False,False
Trey Lyles,2016,2016,F,6-10,234,"November 5, 1995",University of Kentucky,True,False
R.B. Lynam,1968,1968,G,6-1,190,,Oklahoma Baptist University,False,False
George Lynch,1994,2005,F,6-8,218,"September 3, 1970",University of North Carolina,False,False
Kevin Lynch,1992,1993,G-F,6-5,195,"December 24, 1968",University of Minnesota,False,False
Lonnie Lynn,1970,1970,F,6-7,215,"May 24, 1943",Wilberforce University,False,False
Mike Lynn,1970,1971,F,6-7,215,"November 25, 1945","University of California, Los Angeles",False,False
Mike Macaluso,1974,1974,F,6-5,210,"July 20, 1951",Canisius College,False,False
Ed Macauley,1950,1959,C-F,6-8,185,"March 22, 1928",Saint Louis University,False,True
Todd MacCulloch,2000,2003,C,7-0,280,"January 27, 1976",University of Washington,False,False
Ronnie MacGilvray,1955,1955,G,6-2,185,"July 20, 1930",St. John's University,False,False
Scott Machado,2013,2013,G,6-1,205,"June 8, 1990",Iona College,True,False
Arvydas Macijauskas,2006,2006,G,6-4,214,"January 19, 1980",,False,False
Ollie Mack,1980,1982,G,6-3,185,"June 6, 1957",East Carolina University,False,False
Sam Mack,1993,2002,F-G,6-7,220,"May 26, 1970",University of Houston,False,False
Shelvin Mack,2012,2016,G,6-3,203,"April 22, 1990",Butler University,True,False
Malcolm Mackey,1994,1994,F-C,6-9,248,"July 11, 1970",Georgia Institute of Technology,False,False
Rudy Macklin,1982,1984,F-G,6-7,205,"February 19, 1958",Louisiana State University,False,False
Vernon Macklin,2012,2012,F,6-10,227,"September 20, 1986",University of Florida,True,False
Johnny Macknowski,1950,1951,G-F,6-0,180,"January 7, 1923",Seton Hall University,False,False
Don MacLean,1993,2001,F,6-10,235,"January 16, 1970","University of California, Los Angeles",False,False
Mark Macon,1992,1999,G,6-4,185,"April 14, 1969",Temple University,False,False
Kyle Macy,1981,1987,G,6-3,175,"April 9, 1957",University of Kentucky,False,False
Jack Maddox,1949,1949,F-G,6-3,185,"December 10, 1919",West Texas A&M University,False,False
Tito Maddox,2003,2003,G,6-4,190,"June 7, 1981","California State University, Fresno",False,False
Gerald Madkins,1994,1998,G,6-4,200,"April 18, 1969","University of California, Los Angeles",False,False
Mark Madsen,2001,2009,F,6-9,240,"January 28, 1976",Stanford University,False,False
Norm Mager,1951,1951,F,6-5,185,"March 23, 1926",City College of New York,False,False
Corey Maggette,2000,2013,F,6-6,218,"November 12, 1979",Duke University,False,False
Dave Magley,1983,1983,F,6-8,202,"November 24, 1959",University of Kansas,False,False
Jamaal Magloire,2001,2012,C,6-11,259,"May 21, 1978",University of Kentucky,False,False
Randolph Mahaffey,1968,1971,F,6-7,210,"September 28, 1945",Clemson University,False,False
Ian Mahinmi,2008,2016,C,6-11,250,"November 5, 1986",,True,False
John Mahnken,1947,1953,C,6-8,220,"June 16, 1922",Georgetown University,False,False
Brian Mahoney,1973,1973,G,6-3,175,"December 17, 1948",Manhattan College,False,False
Mo Mahoney,1953,1954,F,6-2,205,"November 20, 1927",Brown University,False,False
Rick Mahorn,1981,1999,C-F,6-10,240,"September 21, 1958",Hampton University,False,False
Dan Majerle,1989,2002,G-F,6-6,215,"September 9, 1965",Central Michigan University,False,False
Renaldo Major,2007,2007,F,6-7,200,"May 7, 1982","California State University, Fresno",False,False
Lionel Malamed,1949,1949,G,5-9,150,"November 15, 1924",City College of New York,False,False
Jeff Malone,1984,1996,G,6-4,205,"June 28, 1961",Mississippi State University,False,False
Karl Malone,1986,2004,F,6-9,250,"July 24, 1963",Louisiana Tech University,False,True
Moses Malone,1975,1995,C-F,6-10,215,"March 23, 1955",,False,True
Matt Maloney,1997,2003,G,6-3,192,"December 6, 1971",University of Pennsylvania,False,False
Steve Malovic,1980,1980,F,6-10,230,"July 21, 1956",San Diego State University,False,False
Mike Maloy,1971,1973,F,6-7,215,"May 10, 1949",Davidson College,False,False
Ted Manakas,1974,1974,G,6-2,180,"February 22, 1951",Princeton University,False,False
John Mandic,1949,1950,F-C,6-4,205,"October 3, 1919",Oregon State University,False,False
Frank Mangiapane,1947,1947,G,5-10,195,"August 5, 1925",New York University,False,False
Danny Manning,1989,2003,F-C,6-10,230,"May 17, 1966",University of Kansas,False,False
Ed Manning,1968,1976,F,6-7,210,"January 2, 1944",Jackson State University,False,False
Guy Manning,1968,1969,F,6-6,195,"February 4, 1944",Prairie View A&M University,False,False
Rich Manning,1996,1997,C,6-11,253,"June 23, 1970",University of Washington,False,False
Pace Mannion,1984,1989,G,6-7,190,"September 22, 1960",University of Utah,False,False
Nick Mantis,1960,1963,G,6-3,190,"December 7, 1935",Northwestern University,False,False
Pete Maravich,1971,1980,G,6-5,197,"June 22, 1947",Louisiana State University,False,True
Press Maravich,1947,1947,G,6-0,185,"August 20, 1920",Davis & Elkins College,False,False
Devyn Marble,2015,2016,G-F,6-6,200,"September 21, 1992",University of Iowa,True,False
Roy Marble,1990,1994,G-F,6-6,190,"December 13, 1966",University of Iowa,False,False
Stephon Marbury,1997,2009,G,6-2,180,"February 20, 1977",Georgia Institute of Technology,False,False
Sarunas Marciulionis,1990,1997,G,6-5,200,"June 13, 1964",,False,True
Saul Mariaschin,1948,1948,G,5-11,165,"September 1, 1924",Harvard University,False,False
Jack Marin,1967,1977,F-G,6-7,200,"October 12, 1944",Duke University,False,False
Shawn Marion,2000,2015,F,6-7,220,"May 7, 1978","University of Nevada, Las Vegas",False,False
Boban Marjanovic,2016,2016,C,7-3,290,"August 15, 1988",,True,False
Damir Markota,2007,2007,C,6-10,225,"December 26, 1985",,False,False
Sean Marks,1999,2011,F-C,6-10,250,"August 23, 1975",University of California,False,False
Harvey Marlatt,1971,1973,G,6-3,185,"August 26, 1948",Eastern Michigan University,False,False
Jim Marsh,1972,1972,F,6-7,215,"April 26, 1946",University of Southern California,False,False
Ricky Marsh,1978,1978,G,6-3,200,"March 10, 1954",Manhattan College,False,False
Donny Marshall,1996,2003,F,6-7,230,"July 17, 1972",University of Connecticut,False,False
Donyell Marshall,1995,2009,F,6-9,218,"May 18, 1973",University of Connecticut,False,False
Kendall Marshall,2013,2016,G,6-4,200,"August 19, 1991",University of North Carolina,True,False
Rawle Marshall,2006,2007,G-F,6-9,190,"February 20, 1982",Oakland University,False,False
Tom Marshall,1955,1959,F-G,6-4,215,"January 6, 1931",Western Kentucky University,False,False
Vester Marshall,1974,1974,F,6-7,200,"December 22, 1948",University of Oklahoma,False,False
Bill Martin,1986,1988,F,6-7,205,"August 16, 1962",Georgetown University,False,False
Bob Martin,1994,1995,C,7-0,250,"October 7, 1969",University of Minnesota,False,False
Brian Martin,1986,1986,F,6-9,212,"August 18, 1962",University of Kansas,False,False
Cartier Martin,2009,2015,F,6-7,220,"November 20, 1984",Kansas State University,True,False
Cuonzo Martin,1996,1997,G-F,6-5,213,"September 23, 1971",Purdue University,False,False
Darrick Martin,1995,2008,G,5-11,170,"March 6, 1971","University of California, Los Angeles",False,False
Dino Martin,1947,1948,G,5-8,160,"May 25, 1920",Georgetown University,False,False
Don Martin,1947,1949,C-F,6-7,210,"February 7, 1920",Central Missouri State University,False,False
Fernando Martin,1987,1987,C,6-9,220,"March 25, 1962",,False,False
Jarell Martin,2016,2016,F,6-10,239,"May 24, 1994",Louisiana State University,True,False
Jeff Martin,1990,1991,G,6-5,195,"January 14, 1967",Murray State University,False,False
Kenyon Martin,2001,2015,F,6-9,234,"December 30, 1977",University of Cincinnati,False,False
Kevin Martin,2005,2016,G,6-7,199,"February 1, 1983",Western Carolina University,True,False
LaRue Martin,1973,1976,C,6-11,208,"March 30, 1950",Loyola University of Chicago,False,False
Maurice Martin,1987,1988,F-G,6-6,200,"July 2, 1964",Saint Joseph's University,False,False
Phil Martin,1955,1955,G,6-3,190,"April 2, 1928",University of Toledo,False,False
Slater Martin,1950,1960,G,5-10,170,"October 22, 1925",University of Texas at Austin,False,True
Whitey Martin,1962,1962,G,6-2,185,"April 11, 1939",St. Bonaventure University,False,False
Jamal Mashburn,1994,2004,F,6-8,240,"November 29, 1972",University of Kentucky,False,False
Al Masino,1953,1954,G,5-10,174,"February 5, 1928",Canisius College,False,False
Anthony Mason,1990,2003,F,6-7,250,"December 14, 1966",Tennessee State University,False,False
Desmond Mason,2001,2010,F,6-7,224,"October 11, 1977",Oklahoma State University,False,False
Roger Mason,2003,2014,G,6-5,200,"September 10, 1980",University of Virginia,False,False
Tony Massenburg,1991,2005,F,6-9,220,"July 31, 1967",University of Maryland,False,False
Eddie Mast,1971,1973,F-C,6-9,220,"October 3, 1948",Temple University,False,False
Johnny Mathis,1968,1968,F,6-6,220,"July 14, 1943",Savannah State University,False,False
Wes Matthews,1981,1990,G,6-1,170,"August 24, 1959",University of Wisconsin,False,False
Wesley Matthews,2010,2016,G,6-5,220,"October 14, 1986",Marquette University,True,False
Ariel Maughan,1947,1951,F,6-4,190,"April 26, 1923",Utah State University,False,False
Marlon Maxey,1993,1994,F,6-8,250,"February 19, 1969",University of Texas at El Paso,False,False
Jason Maxiell,2006,2015,F,6-7,260,"February 18, 1983",University of Cincinnati,False,False
Cedric Maxwell,1978,1988,F,6-8,205,"November 21, 1955",University of North Carolina at Charlotte,False,False
Vernon Maxwell,1989,2001,G,6-4,180,"September 12, 1965",University of Florida,False,False
Don May,1969,1975,F,6-4,200,"January 3, 1946",University of Dayton,False,False
Scott May,1977,1983,F,6-7,215,"March 19, 1954",Indiana University,False,False
Sean May,2006,2010,F,6-9,266,"April 4, 1984",University of North Carolina,False,False
Lee Mayberry,1993,1999,G,6-1,172,"June 12, 1970",University of Arkansas,False,False
Clyde Mayes,1976,1977,F,6-8,225,"March 17, 1953",Furman University,False,False
Tharon Mayes,1992,1992,G,6-3,175,"September 9, 1968",Florida State University,False,False
Bill Mayfield,1981,1981,F,6-7,205,"October 17, 1957",University of Iowa,False,False
Ken Mayfield,1976,1976,G,6-2,185,"May 11, 1948",Tuskegee University,False,False
Eric Maynor,2010,2014,G,6-3,175,"June 11, 1987",Virginia Commonwealth University,True,False
O.J. Mayo,2009,2016,G,6-5,210,"November 5, 1987",University of Southern California,True,False
Travis Mays,1991,1993,G,6-2,190,"June 19, 1968",University of Texas at Austin,False,False
Matt Mazza,1950,1950,F,6-3,210,"September 23, 1923",Michigan State University,False,False
Luc Mbah a Moute,2009,2016,F,6-8,230,"September 9, 1986","University of California, Los Angeles",True,False
Bob McAdoo,1973,1986,C-F,6-9,210,"September 25, 1951",University of North Carolina,False,True
James Michael McAdoo,2015,2016,F,6-9,230,"January 4, 1993",University of North Carolina,True,False
Ken McBride,1955,1955,G-F,6-3,190,,University of Maryland Eastern Shore,False,False
Ray McCallum,2014,2016,G,6-3,190,"June 12, 1991",University of Detroit Mercy,True,False
Bob McCann,1990,1998,F,6-6,244,"April 22, 1964",Morehead State University,False,False
Brendan McCann,1958,1960,G,6-2,178,"July 5, 1935",St. Bonaventure University,False,False
Mel McCants,1990,1990,F,6-8,240,"August 19, 1967",Purdue University,False,False
Rashad McCants,2006,2009,G,6-4,207,"September 25, 1984",University of North Carolina,False,False
Mike McCarron,1947,1950,G,5-11,180,"March 2, 1922",Seton Hall University,False,False
Andre McCarter,1977,1981,G,6-3,190,"August 25, 1953","University of California, Los Angeles",False,False
Willie McCarter,1970,1972,G,6-3,175,"July 26, 1946",Drake University,False,False
Johnny McCarthy,1957,1964,G,6-1,185,"April 25, 1934",Canisius College,False,False
Howie McCarty,1947,1947,F-G,6-2,190,,Wayne State University,False,False
Kelly McCarty,1999,1999,G-F,6-7,200,"August 24, 1975",University of Southern Mississippi,False,False
Walter McCarty,1997,2006,F,6-10,230,"February 1, 1974",University of Kentucky,False,False
Amal McCaskill,1997,2004,F-C,6-11,235,"October 28, 1973",Marquette University,False,False
Dwayne McClain,1986,1986,G,6-6,185,"February 7, 1963",Villanova University,False,False
Ted McClain,1972,1979,G,6-1,180,"August 30, 1946",Tennessee State University,False,False
Dan McClintock,2001,2001,C,7-0,270,"April 19, 1977",Northern Arizona University,False,False
Jack McCloskey,1953,1953,G,6-2,190,"September 19, 1925",University of Pennsylvania,False,False
George McCloud,1990,2002,G-F,6-6,205,"May 27, 1967",Florida State University,False,False
C.J. McCollum,2014,2016,G,6-4,200,"September 19, 1991",Lehigh University,True,False
